exp_id,gas_type,speed,temp_inside,temp_outside,AC,rain,sun,weather_mix,consume_rate,consume
275,SP98,50,22.0,10.0,0,rain,0,rainy with ac OFF,0.19,4.9
276,SP98,40,22.0,10.0,0,0,0,ac OFF,0.26,4.1
277,SP98,32,22.0,19.0,0,0,0,ac OFF,0.28,4.5
278,SP98,40,22.0,7.0,ac,rain,0,rainy with ac ON,0.28,4.4
279,SP98,41,22.0,11.0,0,0,0,ac OFF,0.28,4.5
280,SP98,26,22.0,10.0,0,0,0,ac OFF,0.18,4.5
281,SP98,42,22.0,8.0,0,0,0,ac OFF,0.24,3.9
282,SP98,43,22.0,16.0,0,0,0,ac OFF,0.3,4.6
283,SP98,40,22.0,8.0,0,0,0,ac OFF,0.24,3.8
284,SP98,50,22.0,16.0,0,0,0,ac OFF,0.14,4.5
285,SP98,40,22.0,14.0,0,0,0,ac OFF,0.17,4.4
286,SP98,44,22.0,12.0,0,0,0,ac OFF,0.09,4.3
287,SP98,45,22.0,20.0,0,0,sun,sunny with ac OFF,0.11,4.0
288,SP98,35,22.0,15.0,0,0,sun,sunny with ac OFF,0.14,3.9
290,SP98,25,22.0,18.0,0,0,sun,sunny with ac OFF,0.55,4.1
291,SP98,22,22.0,25.0,0,0,sun,sunny with ac OFF,0.24,4.1
293,SP98,26,22.0,20.0,0,0,0,ac OFF,0.29,4.1
294,SP98,33,22.0,18.0,0,0,0,ac OFF,0.35,4.6
295,SP98,26,22.0,23.0,0,0,0,ac OFF,0.59,4.9
296,SP98,39,22.0,27.0,0,0,sun,sunny with ac OFF,0.35,4.5
297,SP98,47,22.0,14.0,0,0,0,ac OFF,0.25,4.1
298,SP98,38,22.0,21.0,0,0,0,ac OFF,0.2,4.1
299,SP98,58,22.0,16.0,0,0,0,ac OFF,0.28,4.5
300,SP98,65,25.0,18.0,ac,0,sun,sunny with ac ON,0.22,4.2
301,SP98,54,23.0,18.0,0,0,sun,sunny with ac OFF,0.11,3.9
302,SP98,35,22.0,15.0,ac,0,sun,sunny with ac ON,0.26,5.0
303,SP98,46,22.0,5.0,ac,0,0,ac ON,0.27,4.4
304,SP98,32,22.0,18.0,ac,0,0,ac ON,0.15,4.5
305,SP98,42,22.0,11.0,0,0,0,ac OFF,0.24,3.8
306,SP98,33,22.0,10.0,0,rain,0,rainy with ac OFF,0.24,5.1
307,SP98,40,22.0,10.0,0,0,0,ac OFF,0.24,3.9
308,SP98,34,22.0,13.0,0,0,0,ac OFF,0.45,5.3
309,SP98,35,22.0,16.0,0,0,0,ac OFF,0.42,4.2
310,SP98,33,22.0,16.0,0,0,0,ac OFF,0.13,4.3
311,SP98,60,22.0,13.0,0,0,0,ac OFF,0.21,4.0
312,SP98,48,22.0,17.0,0,0,sun,sunny with ac OFF,0.44,4.7
313,SP98,56,22.0,17.0,0,0,sun,sunny with ac OFF,0.2,4.0
314,SP98,38,22.0,17.0,0,0,0,ac OFF,0.38,4.3
315,SP98,53,22.0,15.0,0,0,0,ac OFF,0.46,5.3
316,SP98,51,22.0,13.0,0,0,0,ac OFF,0.24,5.2
317,SP98,53,22.0,15.0,0,0,0,ac OFF,0.15,4.9
318,SP98,53,22.0,14.0,0,0,0,ac OFF,0.11,4.7
321,SP98,27,22.0,27.0,0,0,sun,sunny with ac OFF,0.14,3.6
322,SP98,52,22.0,15.0,0,rain,0,rainy with ac OFF,0.25,4.2
323,SP98,43,22.0,24.0,0,0,0,ac OFF,0.16,4.1
324,SP98,48,22.0,15.0,0,0,0,ac OFF,0.24,4.0
325,SP98,29,22.0,26.0,0,0,0,ac OFF,0.18,3.9
350,SP98,46,22.0,16.0,0,0,0,ac OFF,0.23,4.3
351,SP98,36,22.0,18.0,0,rain,0,rainy with ac OFF,0.3,4.8
352,SP98,46,22.0,17.0,0,0,0,ac OFF,0.26,4.1
353,SP98,35,22.0,23.0,0,0,0,ac OFF,0.25,4.0
354,SP98,44,22.0,16.0,0,0,0,ac OFF,0.23,3.7
355,SP98,46,22.0,23.0,0,0,0,ac OFF,0.23,4.3
357,SP98,48,22.0,16.0,0,0,0,ac OFF,0.25,4.2
360,SP98,36,22.0,22.0,0,0,0,ac OFF,0.24,4.2
362,SP98,45,22.0,15.0,0,0,0,ac OFF,0.26,4.1
363,SP98,55,22.0,18.0,0,0,0,ac OFF,0.32,4.9
364,SP98,39,22.0,23.0,0,0,0,ac OFF,0.28,4.3
365,SP98,35,22.0,18.0,0,0,0,ac OFF,0.24,3.9
366,SP98,52,22.0,26.0,0,0,0,ac OFF,0.29,4.5
367,SP98,48,25.5,30.0,ac,0,sun,sunny with ac ON,0.25,4.1
368,SP98,48,25.5,31.0,ac,0,0,ac ON,0.32,5.0
369,SP98,43,22.0,21.0,ac,0,0,ac ON,0.25,4.0
370,SP98,42,22.0,30.0,0,0,0,ac OFF,0.29,4.5
371,SP98,43,22.0,19.0,0,0,0,ac OFF,0.22,3.6
372,SP98,33,22.0,21.0,0,0,0,ac OFF,0.2,4.1
373,SP98,47,22.0,26.0,0,0,0,ac OFF,0.12,3.9
374,SP98,16,24.0,27.0,ac,0,0,ac ON,0.43,6.6
375,SP98,44,25.0,23.0,ac,0,0,ac ON,0.14,4.0
376,SP98,33,25.0,19.0,0,0,0,ac OFF,0.31,3.7
377,SP98,36,25.0,22.0,0,0,0,ac OFF,0.3,4.3
378,SP98,49,22.0,26.0,0,0,sun,sunny with ac OFF,0.25,4.1
379,SP98,39,24.5,17.0,ac,0,0,ac ON,0.27,4.4
380,SP98,44,24.5,23.0,0,0,sun,sunny with ac OFF,0.23,3.8
381,SP98,52,24.5,27.0,0,0,0,ac OFF,0.6,5.0
382,SP98,33,24.5,28.0,0,0,sun,sunny with ac OFF,0.67,3.7
383,SP98,33,24.5,28.0,0,0,sun,sunny with ac OFF,0.27,3.7
384,SP98,39,24.5,18.0,0,0,0,ac OFF,0.23,3.7
385,SP98,38,25.0,31.0,ac,0,0,ac ON,0.27,4.3
386,SP98,45,25.0,19.0,0,0,0,ac OFF,0.24,3.8
387,SP98,42,25.0,31.0,ac,0,0,ac ON,0.3,4.6
388,SP98,25,25.0,30.0,ac,0,0,ac ON,0.34,5.0
